Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
NewFolder/Variables using image,Failure,2,2,2018-01-24 17:02:37 +0530,2018-01-24 17:14:27 +0530,0:00:00
NewFolder/Record and play,Failure,1,1,2018-01-24 13:52:59 +0530,2018-01-24 13:52:59 +0530,0:00:00
DataScript,Success,1,0,2018-01-31 14:51:23 +0530,2018-01-31 14:51:23 +0530,0:00:00
NewFolder/Script1-Beginner,Success,3,0,2018-01-24 15:05:55 +0530,2018-01-24 15:28:50 +0530,0:00:21
NewFolder/NewScript,Failure,26,18,2018-01-24 11:05:25 +0530,2018-01-24 14:23:00 +0530,0:00:00
New script,Success,1,0,2018-01-31 10:46:53 +0530,2018-01-31 10:46:53 +0530,0:00:00
